ID	Platform	Farm	Breed	Depth	Coverage	RawReads	CleanReads
SHD_8287	LC	SHD	Duroc	1.427693897	0.425660778	26851416	26539222
SHD_8294	LC	SHD	Duroc	1.591434199	0.522288178	23222954	22116624
SHD_8350	LC	SHD	Duroc	1.826783885	0.686260457	26967178	26472462
SHD_8470	LC	SHD	Duroc	2.642492001	0.409472017	19997208	19363152
SHD_8615	LC	SHD	Duroc	1.554392167	0.521597357	29524542	28714994
SHD_8673	LC	SHD	Duroc	1.774132281	0.664784915	26045514	25600782
SHD_8772	LC	SHD	Duroc	1.515866721	0.477742018	36313792	35264950
SHD_8921	LC	SHD	Duroc	2.741359821	0.454704553	23011156	22281232
SHD_8925	LC	SHD	Duroc	1.754721	0.661677704	25331282	24867548
SHD_8934	LC	SHD	Duroc	1.563191056	0.398640023	19289040	18790886
SHD_9004	LC	SHD	Duroc	1.552270583	0.481664675	20639522	19840442
SHD_9053	LC	SHD	Duroc	1.425073202	0.255037684	23054786	22262048
SHD_9163	LC	SHD	Duroc	1.636694568	0.461626305	24071280	22793294
SHD_9262	LC	SHD	Duroc	1.850632344	0.684449111	26737624	25914022
SHD_9338	LC	SHD	Duroc	1.545293951	0.344235712	18829780	18313800
SHD_9478	LC	SHD	Duroc	1.389080554	0.290905276	18377244	17705746
SHD_9523	LC	SHD	Duroc	1.395181652	0.25090062	27771818	26360820
SHD_9736	LC	SHD	Duroc	2.626037505	0.389222029	18817816	18155966
SHD_9926	LC	SHD	Duroc	1.802260941	0.628811307	24008534	23156000
SHD_9964	LC	SHD	Duroc	1.516168917	0.361010228	21132462	20613116
SHD_9982	LC	SHD	Duroc	1.407432755	0.349614455	19655762	19362782
SHD_10054	LC	SHD	Duroc	1.943207995	0.708854658	28310044	27246806
SHD_10124	LC	SHD	Duroc	2.216444802	0.792514848	38797258	38081546
SHD_10157	LC	SHD	Duroc	1.553594034	0.521553074	27804304	26818214
SHD_10473	LC	SHD	Duroc	1.562673951	0.524521804	27256262	26178168
SHD_10535	LC	SHD	Duroc	1.801027998	0.674513977	24383060	23395052
SHD_10564	LC	SHD	Duroc	1.256227116	0.225408218	14606052	13749704
SHD_10746	LC	SHD	Duroc	1.602093772	0.577547193	23729128	22563540
SHD_10815	LC	SHD	Duroc	1.959454249	0.701029632	29381218	28342598
SHD_10974	LC	SHD	Duroc	1.37009317	0.352668197	26696144	26137204
SHD_11209	LC	SHD	Duroc	1.732965333	0.649063315	24616034	24192822
SHD_11298	LC	SHD	Duroc	1.310037614	0.282372581	23361772	22857278
SHD_11580	LC	SHD	Duroc	1.566828295	0.521969572	29561548	28383606
SHD_11839	LC	SHD	Duroc	1.551920734	0.529505444	28866832	27984070
SHD_11849	LC	SHD	Duroc	1.793039091	0.668933145	26117964	25648120
