PC1	PC2	GRP	ID
-0.00928777	0.00219432	SHD	SHD_1021
-0.0103676	0.00816798	SHD	SHD_1024
-0.00758085	0.00162779	SHD	SHD_1032
-0.00617984	0.00448855	SHD	SHD_1033
-0.0100616	0.00676623	SHD	SHD_1045
-0.0114057	0.00281948	SHD	SHD_1047
-0.00834206	0.00490249	SHD	SHD_1050
-0.0100049	0.00433208	SHD	SHD_1057
-0.00587139	-0.00181251	SHD	SHD_1060
-0.00802953	0.00507679	SHD	SHD_1072
-0.00778377	0.00301386	SHD	SHD_1078
-0.0103225	0.00447134	SHD	SHD_1080
-0.00732365	-0.000434752	SHD	SHD_1083
-0.0109706	0.00433431	SHD	SHD_1085
-0.00992967	0.00321975	SHD	SHD_1086
-0.0109857	0.00488507	SHD	SHD_1090
-0.00962239	0.00328882	SHD	SHD_1093
-0.0124904	0.00636223	SHD	SHD_1096
-0.0112172	0.00668068	SHD	SHD_1097
-0.00752595	0.00164535	SHD	SHD_1109
-0.0105674	0.00485128	SHD	SHD_1119
-0.00532798	-0.00289432	SHD	SHD_1125
-0.00897307	0.00150193	SHD	SHD_1126
-0.0103126	0.00752744	SHD	SHD_1127
-0.0098211	0.00301491	SHD	SHD_1128
-0.0113302	0.00556847	SHD	SHD_1134
-0.00709903	0.00514021	SHD	SHD_1135
-0.0126088	0.00807107	SHD	SHD_1137
-0.0100914	0.00450467	SHD	SHD_1139
-0.00786154	0.00291909	SHD	SHD_1142
-0.00758689	0.00323384	SHD	SHD_1155
-0.00984253	-0.000716272	SHD	SHD_1157
-0.0111544	0.00500352	SHD	SHD_1166
-0.00880643	0.00308982	SHD	SHD_1168
-0.0100775	0.00395387	SHD	SHD_1172
-0.00880083	0.00419321	SHD	SHD_1173
-0.00451363	-0.00139303	SHD	SHD_1176
-0.00377721	-0.00400521	SHD	SHD_1179
-0.00896703	0.00559871	SHD	SHD_1182
-0.0055173	0.00442451	SHD	SHD_1183
-0.010326	0.00353417	SHD	SHD_1185
-0.0104466	0.00408288	SHD	SHD_1187
-0.00824024	0.000232028	SHD	SHD_1190
-0.00998919	0.0029878	SHD	SHD_1200
-0.00534879	0.00326853	SHD	SHD_1210
-0.00986215	0.00241246	SHD	SHD_1213
-0.0122671	0.00731598	SHD	SHD_1222
-0.00886658	0.006339	SHD	SHD_1224
-0.0110515	0.00525716	SHD	SHD_1235
-0.00992685	0.00419268	SHD	SHD_1239
-0.00735826	0.00313791	SHD	SHD_1241
-0.00537541	0.00436551	SHD	SHD_1248
-0.0125931	0.00344106	SHD	SHD_1249
-0.00882586	0.00156736	SHD	SHD_1251
-0.00817895	0.00137924	SHD	SHD_1258
