Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Runella	228	354	234	111	151	236	178	118	415	463	197	175	179	157	328	97	198	82	286	279	437	282	194	308
Spirosoma	2129	470	1091	313	443	411	1348	571	523	471	723	647	778	440	561	729	685	191	394	604	552	688	715	1116
Flammeovirga	35	39	113	55	42	27	40	160	10	42	62	41	136	22	443	14	22	73	34	32	42	28	573	25
Marivirga	128	23	43	7	8	25	38	13	14	14	13	22	19	31	22	9	8	10	26	14	18	36	17	22
Hymenobacter	7434	3634	2701	1234	1757	2576	5466	1391	3286	2773	2857	2792	2883	1788	2160	2162	2585	1331	3751	4104	1395	2590	2126	6119
Pontibacter	1966	873	1060	642	468	586	2008	502	1116	544	755	1020	735	487	629	581	859	542	397	1335	505	811	1444	1316
Rufibacter	1103	785	843	258	832	411	1044	247	1528	272	413	920	422	467	576	384	1400	334	1084	987	369	608	465	970
Persicobacter	227	47	233	87	49	99	142	190	61	73	47	49	94	41	89	47	70	62	75	126	63	157	67	72
Chryseolinea	477	119	373	175	64	148	281	123	232	35	254	320	179	99	96	27	174	55	63	298	76	162	157	266
Blattabacterium	11	89	73	60	54	38	172	150	22	22	83	45	73	57	449	20	22	17	21	43	54	99	577	33
Fluviicola	194	39	164	48	182	82	200	136	117	33	38	74	26	38	486	41	52	26	19	60	28	122	581	108
Owenweeksia	17	86	39	10	13	33	63	75	16	8	15	6	7	22	51	10	22	25	24	25	17	49	36	23
Aequorivita	105	71	74	17	105	18	167	9	156	14	86	141	68	149	15	30	128	14	42	160	46	68	42	107
Algibacter	37	22	18	8	22	3	11	17	76	3	1	7	6	8	4	1	2	0	4	8	1	14	19	22
Aquimarina	84	88	97	24	169	72	144	68	234	34	20	140	96	53	247	42	197	83	119	229	152	90	276	109
Arenibacter	13	146	33	4	24	55	18	57	36	44	57	13	20	133	37	65	11	33	34	82	49	25	80	76
Aureitalea	53	77	12	189	59	160	39	67	39	78	52	31	40	66	17	24	60	40	89	148	66	80	73	58
Capnocytophaga	2563	1066	2466	968	1384	995	1921	2178	1187	957	1800	1298	1564	1593	3445	1175	1879	918	1808	1772	778	1665	4357	1732
Cellulophaga	64	102	105	113	83	89	73	137	74	56	53	43	81	80	510	40	79	101	38	75	93	88	663	50
Chryseobacterium	75242	23983	38801	15045	13198	12006	50051	11051	30033	24345	19096	20998	10760	19073	8895	6029	11444	3712	34332	18053	8278	18523	19060	29987
Croceibacter	8	78	81	24	39	94	54	7	2	92	33	37	4	6	67	4	18	96	8	6	14	118	28	25
Dokdonia	111	117	183	229	151	138	190	73	233	93	92	158	85	146	124	37	233	104	129	353	52	85	105	167
Elizabethkingia	113	120	348	370	397	152	376	343	915	84	206	504	198	372	670	124	478	130	488	537	197	278	849	375
Flagellimonas	63	38	42	78	12	17	31	199	7	21	31	35	20	85	526	3	111	30	72	55	11	29	624	75
Flavivirga	45	89	58	49	35	34	67	31	4	29	56	60	41	89	77	39	36	28	106	58	178	52	111	188
Flavobacterium	1584	957	1880	1022	1023	960	2317	1275	2041	817	768	1531	1184	584	2458	985	2261	637	1513	1700	728	1161	2736	1753
Formosa	61	21	198	107	66	51	253	195	11	18	23	38	55	63	482	12	15	21	62	84	69	47	593	45
Gillisia	3	14	6	4	8	8	20	2	6	0	10	2	5	5	3	0	1	5	2	16	1	13	3	5
Gilvibacter	36	39	78	10	130	35	61	165	39	9	99	30	67	139	393	78	2	9	17	60	35	24	591	217
Gramella	404	262	306	507	233	283	223	833	434	207	143	329	176	203	1844	375	552	234	614	483	312	161	2357	359
Kordia	79	20	71	52	10	18	28	34	12	24	17	36	29	45	87	15	15	1	36	57	7	29	76	48
Lacinutrix	12	16	63	15	31	34	27	22	9	43	34	27	2	33	26	21	18	22	22	64	87	16	82	20
