Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Rhodobacterales	7008	2331	8518	4684	3469	7026	5796	5097	3821	4030	6246	5521	5075	6593	5072	5376	4230	4696	5487	5146	4143	5608	5813
Rhodospirillales	4305	1560	7425	4660	3361	5713	4826	4819	3237	3895	6642	4829	4666	4231	3445	2439	4549	3735	4029	4198	2089	4497	4848
Rickettsiales	1025	404	1543	136	497	568	954	949	668	425	318	885	564	1178	706	1030	1028	1382	766	1052	760	579	434
Sphingomonadales	6286	2343	9201	4619	2761	6393	6514	6813	4224	4527	6244	7625	5566	7771	5718	7807	4753	6389	5838	5050	5994	5201	6009
Burkholderiales	19653	6959	32543	23836	44489	23890	29826	19970	19977	18362	24642	22596	21309	46967	316215	21667	17900	23891	31983	20350	30785	20717	19454
Neisseriales	2881	910	4914	3090	1452	3574	2546	3244	2093	2120	3554	3356	2812	4024	2720	2366	3157	3364	2708	2883	2421	2943	2578
Nitrosomonadales	1722	622	2943	1818	1486	1781	2088	1997	1559	1382	1057	2320	1414	2308	1509	806	1810	2153	1651	2487	558	1510	1441
Rhodocyclales	1330	427	1601	1321	606	1137	1471	856	593	972	1804	1381	1180	1439	1283	1518	1769	915	1237	1119	1197	1575	1086
Bradymonadales	115	26	246	67	38	352	153	36	87	132	168	89	327	141	70	23	54	50	200	177	18	148	110
Desulfarculales	671	178	932	373	156	1232	594	874	402	465	744	393	245	476	204	346	516	583	256	481	249	321	472
Desulfobacterales	1825	501	2290	1309	1038	1898	1759	1339	1089	1367	2215	1632	1977	1762	936	1011	2925	1546	1828	1837	745	2064	1497
Desulfovibrionales	126646	61584	78959	84484	78450	316759	129542	110531	113071	115154	46346	112650	101723	142476	181357	134506	74405	147592	131884	87972	298745	96903	127883
Desulfurellales	79	19	84	32	31	24	14	32	12	41	20	22	39	40	79	6	41	31	65	26	16	40	28
Desulfuromonadales	4335	1553	6330	3160	2395	5080	4312	4299	3543	3220	4150	4253	3841	4986	4293	4166	3415	4495	3302	4501	3768	3523	4239
Myxococcales	3343	1629	6933	4969	2534	6178	4114	4469	3103	3278	5806	6819	4620	4593	2171	2316	3273	3904	3968	4912	1868	4041	4460
Syntrophobacterales	179	76	662	473	375	887	199	291	238	412	369	370	419	589	159	374	274	202	234	390	192	521	422
Campylobacterales	35534	23099	16725	8592	26789	19720	9898	9286	11544	12258	10888	17714	15061	15165	21169	60236	21434	13585	46005	30399	24345	13809	26492
Nautiliales	40	11	23	22	17	34	2	52	8	16	13	44	16	28	2	2	10	2	32	0	12	18	17
Acidiferrobacterales	262	199	547	467	213	369	449	461	438	356	529	250	602	280	184	227	195	274	388	235	178	261	301
Aeromonadales	2612	645	3395	2375	883	2647	2025	2186	1495	1822	2215	1966	2466	2374	1942	2105	1764	1850	1805	1647	1547	2361	1830
Alteromonadales	2384	936	2565	2834	2329	2399	2077	2650	1649	2521	2223	3075	3563	2986	2568	2593	8331	2174	2159	1968	2047	2806	2695
Cardiobacteriales	3	10	16	11	77	11	20	29	13	15	38	23	15	83	28	14	6	1	30	11	3	6	11
Cellvibrionales	1205	215	1193	940	500	932	762	610	1057	713	1058	758	970	905	1200	866	683	595	934	599	424	903	841
Chromatiales	3111	1020	3381	2185	1304	3762	3150	3010	2190	2166	4189	2994	2975	2771	2142	2561	4446	2512	2576	2446	2041	3207	2845
Enterobacterales	264178	127147	518639	114126	279681	467896	97814	12389	50674	14446	226144	17853	95600	105341	908449	4165431	64853	254302	749435	20986	265961	191555	10586
Immundisolibacterales	19	20	163	13	37	49	36	37	35	23	213	24	49	79	87	48	6	46	28	45	54	48	50
Legionellales	548	82	274	234	217	249	506	170	269	246	235	294	332	397	484	230	195	309	376	335	140	418	295
Methylococcales	1434	285	1096	808	341	734	747	511	533	624	929	597	1037	1178	864	1220	268	708	705	569	931	866	516
Nevskiales	81	61	306	204	103	294	293	135	85	83	182	175	130	150	138	128	50	85	189	264	68	225	212
Oceanospirillales	3438	1345	4125	3183	1624	3234	2960	2981	1999	2496	3779	3223	2887	3125	2254	2080	4009	2514	2417	3518	2069	3549	2825
Orbales	10	4	15	16	64	17	32	42	29	38	17	20	71	125	17	53	5	10	36	10	26	74	15
Pasteurellales	2003	1400	2335	14192	2537	1681	1841	2170	4222	1362	15825	1922	2129	3258	1895	9923	2472	2453	3224	3902	1751	1574	2582
Pseudomonadales	8499	3280	11517	8993	4889	11084	8735	9179	6253	8381	9223	8778	8899	9420	7074	7445	6213	7492	8468	6985	6608	10417	9142
Salinisphaerales	78	7	40	31	31	33	85	35	34	37	330	38	119	76	14	147	359	23	68	179	21	142	74
