Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Leptolyngbyaceae	897	172	1094	284	263	661	584	153	528	329	177	765	461	88	176	530	224	156	213	454	415	505	80	491
Merismopediaceae	116	143	55	55	78	42	179	7	21	49	68	75	91	18	74	27	71	14	40	30	25	96	3	135
Prochloraceae	100	31	92	66	43	42	162	12	11	37	32	72	30	81	26	26	22	20	17	23	18	90	14	22
Prochlorotrichaceae	114	50	62	47	83	45	82	2	14	7	147	79	24	42	12	33	15	13	90	12	35	144	33	25
Pseudanabaenaceae	4	75	41	38	6	14	1	10	9	6	102	28	57	8	40	41	9	9	8	75	65	48	7	145
Synechococcaceae	1036	1870	1137	1270	1306	1634	1430	1983	1012	614	1556	1833	1611	775	2705	1935	1148	623	963	2207	2304	1825	3014	2557
Deferribacteraceae	74	110	300	235	217	261	247	80	61	58	242	162	128	204	68	33	97	62	101	388	114	278	92	193
Deinococcaceae	1379	2949	1175	1884	2321	3166	1860	2709	2169	1481	2597	4190	2594	1246	2229	3764	1589	1466	2134	4018	3889	2713	2490	5175
Trueperaceae	104	528	94	185	144	448	184	202	294	248	415	551	343	184	247	451	181	166	366	331	493	311	279	710
Thermaceae	1151	1011	724	1298	946	1209	1290	318	763	577	1461	1991	1154	511	959	1363	663	553	704	1262	1755	1555	974	1785
Dictyoglomaceae	4	63	19	115	143	158	25	51	16	26	91	29	109	102	16	47	35	86	79	261	70	59	66	62
Elusimicrobiaceae	355	220	20	7	46	20	45	8	3	26	495	16	180	67	61	27	9	4	13	271	59	54	58	1072
Endomicrobiaceae	13	63	40	35	124	38	11	68	11	22	51	35	90	60	102	28	42	91	96	51	172	27	26	124
Fibrobacteraceae	170	645	888	145	103	143	318	37	34	35	190	115	82	470	137	223	119	73	132	363	5929	1451	62	180
Alicyclobacillaceae	1523	914	776	1026	828	768	1057	344	283	490	1076	953	1149	299	720	452	641	415	541	543	964	766	1163	1266
Bacillaceae	3969	5794	6136	6497	7379	6914	6351	4702	3406	4160	6186	6287	5459	5623	5534	3999	3541	3969	7193	7456	7453	6151	7563	6940
Listeriaceae	75	208	260	345	329	356	253	75	118	157	152	322	159	159	205	114	172	131	108	175	251	188	208	267
Paenibacillaceae	4999	9961	6470	9059	7993	8724	7516	6683	4441	6081	9111	8623	7848	6027	7267	10216	7734	5073	11700	10614	10873	8151	8636	13512
Planococcaceae	749	595	674	884	601	845	804	628	284	413	615	660	593	491	880	356	538	366	732	848	615	672	1181	754
Sporolactobacillaceae	48	18	74	80	32	19	19	47	27	19	62	121	17	35	32	42	19	22	52	29	16	134	11	79
Staphylococcaceae	523	1407	1172	1862	2196	2406	1531	1153	378	1004	1073	1722	1015	1390	989	876	729	1121	1244	2035	1746	2051	1349	1656
Thermoactinomycetaceae	72	126	168	231	181	112	238	68	35	33	126	145	89	68	63	116	80	120	24	111	222	185	123	160
Aerococcaceae	213	433	318	880	758	976	403	452	311	283	469	801	366	407	328	397	268	581	224	1202	420	458	608	598
Carnobacteriaceae	103	187	582	328	191	375	340	43	102	96	144	424	114	109	100	109	102	126	47	124	148	297	104	171
Enterococcaceae	4648	7429	3477	65791	5208	7259	4112	4146	2739	13366	3778	7125	5431	3414	3574	4971	2958	6480	10567	14285	6156	4251	3268	6322
Lactobacillaceae	324471	163607	655706	797770	336010	304866	370039	114010	738298	188092	44613	659191	810408	27327	53178	36920	86180	278514	707145	26469	102251	134733	73793	85075
Leuconostocaceae	349	655	478	3379	880	1587	23656	409	252	477	730	8424	457	398	244	660	607	2014	633	359	1016	4605	355	602
Streptococcaceae	25015	15770	11976	39124	33326	38318	35856	18237	4336	21423	12003	19375	17346	17576	7444	10040	12487	9919	22901	26342	10382	21324	18092	17574
Christensenellaceae	3199	6991	1682	8832	8912	9078	2992	5239	3627	4008	6879	7750	8336	4538	4572	6537	5851	8730	6971	10013	7576	4463	7246	7180
