Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Natronobacterium	46	2	18	24	5	12	53	25	10	10	54	14	11	17	22	48	105	18	33	30	0	5	17
Natronococcus	1	1	6	3	9	4	6	2	0	8	0	2	28	3	0	0	5	19	0	5	4	2	1
Natronolimnobius	3	4	11	3	5	19	1	21	15	19	11	2	14	8	4	4	5	9	23	9	6	53	15
Salinarchaeum	68	8	25	4	19	106	11	6	2	0	49	29	13	9	7	18	10	4	9	27	4	13	23
Methanobacterium	72	40	25	16	23	30	18	44	22	66	30	24	70	28	31	22	21	47	30	14	24	96	60
Methanobrevibacter	178539	86452	194680	2902	61114	16671	244854	186392	59106	3715	7648	384984	57991	76187	80737	130860	108363	30074	64812	106280	300645	14731	76982
Methanosphaera	95	45	92	7	434	68	37	55	58	13	18	2	17	29	13	7	55	29	14	31	118	40	82
Methanothermobacter	33	5	30	5	7	5	6	10	26	11	7	30	35	7	4	16	3	3	5	13	2	3	12
Methanothermus	0	0	0	0	0	0	0	2	0	1	0	3	1	0	3	0	0	0	1	1	0	1	0
Methanocaldococcus	1	3	3	10	5	1	2	0	8	3	4	3	7	0	2	8	7	3	1	1	20	6	4
Methanotorris	2	0	2	0	0	2	1	4	0	0	2	2	1	1	4	1	8	0	1	0	5	0	1
Methanococcus	94	33	95	69	54	78	70	118	81	197	34	51	99	77	39	19	44	85	48	158	22	116	174
Methanothermococcus	3	2	4	5	1	5	1	0	2	23	0	0	3	1	0	0	2	1	22	7	1	0	4
Methanocella	42	53	155	48	62	16	103	26	7	17	245	72	80	12	28	71	122	33	15	87	35	107	94
Methanocorpusculum	23	6	50	7	36	5	18	22	10	36	11	7	29	17	30	21	2	15	10	38	45	7	10
Methanoculleus	23	12	171	35	32	51	32	14	38	31	49	85	46	57	14	14	20	27	30	41	11	114	59
Methanofollis	13	0	26	8	50	20	22	15	8	15	35	10	18	14	10	3	9	3	0	11	7	23	6
Methanolacinia	1	1	7	16	18	22	3	12	5	26	28	24	16	4	5	3	7	6	4	20	0	13	6
Methanoplanus	3	4	6	2	0	2	1	19	5	2	5	7	4	5	3	8	2	1	6	1	8	6	0
Methanolinea	2	0	3	0	0	4	0	0	1	1	0	3	0	0	4	7	0	0	4	0	1	3	0
Methanoregula	16	20	39	54	31	62	30	34	14	26	34	9	28	40	47	12	7	13	11	16	43	17	12
Methanosphaerula	0	0	3	5	2	3	3	1	2	12	17	2	1	0	18	2	13	3	3	3	0	1	3
Methanospirillum	2	1	39	2	12	20	9	79	17	4	12	21	4	13	12	1	5	15	6	7	6	5	4
Methanothrix	11	41	72	10	17	35	57	39	21	27	43	51	43	15	39	37	7	40	32	24	43	35	51
Methanococcoides	15	3	35	13	10	14	10	17	15	17	13	9	40	10	19	12	14	13	10	20	9	22	17
Methanohalobium	12	1	11	1	19	16	7	5	19	29	1	7	13	5	2	0	21	2	2	19	0	40	1
Methanohalophilus	9	2	10	32	11	6	4	1	6	7	14	26	16	14	6	11	2	10	33	11	38	26	3
Methanolobus	3	1	10	3	0	3	1	3	21	2	3	9	15	4	4	13	2	5	8	0	2	6	3
Methanomethylovorans	40	5	35	7	332	62	18	34	1318	15	23	10	25	25	24	5	48	19	21	31	16	21	77
Methanosalsum	1	1	3	2	0	4	1	2	3	15	5	3	6	5	0	0	0	0	15	1	0	1	5
Methanosarcina	115	73	283	110	275	160	178	244	124	271	267	201	262	278	133	98	88	135	152	133	99	170	187
Methanopyrus	0	1	0	1	0	3	0	0	0	1	1	0	1	3	0	0	0	1	0	2	0	9	0
Palaeococcus	0	0	4	2	2	0	14	40	2	0	0	108	1	0	0	0	17	1	1	0	2	1	0
Pyrococcus	5	8	7	0	1	9	1	3	4	1	48	13	13	2	30	0	5	1	24	9	1	2	5
Thermococcus	974	140	481	280	198	180	609	372	421	352	212	371	312	783	324	969	280	403	253	310	791	366	432
Candidatus Methanomethylophilus	102061	30499	13410	23325	214755	94133	84032	57435	287287	7831	328	48410	40578	207296	30143	146188	35037	200538	198319	1431	937	18842	619
Candidatus Methanoplasma	229	34	1288	112	542	563	311	469	766	1413	463	1145	820	625	656	154	396	616	342	957	46	457	552
Methanomassiliicoccus	57	7	159	83	84	71	50	79	134	133	91	179	113	113	151	34	73	102	73	133	13	56	48
Cuniculiplasma	4	0	16	0	6	8	11	3	9	9	5	7	8	15	26	7	6	12	11	9	4	3	6
Ferroplasma	0	3	5	1	5	3	1	2	2	6	1	10	5	9	8	7	1	4	2	2	1	32	6
Picrophilus	0	0	2	0	3	9	1	1	3	9	4	2	13	3	0	1	0	8	2	2	0	9	2
Thermoplasma	17	7	3	1	1	1	2	1	1	1	1	7	6	2	5	1	3	4	1	3	0	0	7
Aciduliprofundum	4	0	7	23	8	4	7	2	30	7	6	5	6	9	12	6	7	6	2	5	1	2	6
Candidatus Nitrosocaldus	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
Nitrososphaera	4	2	3	28	13	7	37	13	2	12	0	10	5	0	0	7	1	1	14	2	1	18	0
Candidatus Nitrosopelagicus	0	0	0	0	0	0	0	1	0	1	0	0	14	0	0	0	0	0	2	0	0	4	3
Candidatus Nitrosotenuis	0	0	0	11	0	0	1	0	1	2	3	0	0	4	2	1	2	0	4	1	0	0	4
Candidatus Nitrosomarinus	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0
Nitrosopumilus	2	2	3	0	15	0	0	0	0	1	5	0	10	4	6	1	10	5	11	2	1	5	0
Thermobaculum	82	4	25	5	48	103	32	51	707	24	4	123	79	12	8	10	20	0	26	7	35	12	28
Luteitalea	163	41	237	97	167	268	142	172	86	51	206	219	134	137	124	91	83	54	191	110	100	193	98
Acidobacterium	115	98	150	124	55	174	168	98	67	40	146	167	179	39	63	84	243	64	195	103	109	187	160
Candidatus Koribacter	60	37	299	335	308	437	66	82	261	36	540	168	58	139	46	100	17	221	288	115	39	190	143
Granulicella	282	137	411	220	109	650	265	628	356	251	465	246	332	248	362	241	796	502	207	188	283	428	310
Terriglobus	604	143	493	863	100	352	209	409	369	776	225	241	414	1393	412	1005	291	297	303	251	1147	503	640
Chloracidobacterium	34	34	114	139	46	75	47	65	41	50	147	67	84	74	53	17	41	50	83	125	26	139	136
Candidatus Solibacter	146	72	344	186	208	123	479	362	128	351	361	168	405	489	68	170	392	126	141	98	51	294	334
Acidimicrobium	66	27	36	86	54	35	130	47	27	29	259	56	164	80	23	66	442	35	25	84	39	216	30
Thermobispora	102	28	187	60	23	143	70	236	141	142	85	117	208	53	121	62	21	160	199	65	132	121	91
Acidothermus	19	6	42	17	15	2	57	8	59	45	92	17	56	41	6	4	24	21	53	29	12	19	11
Actinomyces	3733	765	15712	2506	3268	3048	1657	1766	9721	1724	2062	2071	2145	23159	880	1445	2825	1560	1899	3014	4106	2330	4059
Actinotignum	40	8	170	18	58	52	84	54	47	59	84	53	149	43	25	10	36	66	100	55	73	86	35
Arcanobacterium	6	12	19	38	48	103	21	25	22	31	45	25	46	27	14	14	20	26	30	9	49	13	26
Mobiluncus	60	10	39	17	111	279	20	15	14	19	51	33	99	21	3	40	12	6	11	75	20	18	47
Trueperella	5109	1103	7830	1014	1505	2366	5883	3484	1781	3267	2917	5121	2791	3958	1565	1474	3347	3647	2385	4614	1205	2821	2310
Actinopolyspora	46	2	43	22	15	34	9	58	43	27	44	41	37	15	30	32	72	30	28	22	41	65	23
Bifidobacterium	4522	2425	15555	3450	7292	8283	7485	6566	6203	6459	19611	7103	9812	76827	14740	13763	7026	4890	13301	6920	22792	7742	7355
Gardnerella	173	41	224	256	540	274	74	210	51	261	96	296	62	205	86	80	28	121	362	120	224	110	344
Parascardovia	137	12	87	84	57	74	97	29	60	74	314	69	169	143	11	84	493	61	81	81	52	308	80
Scardovia	11	3	72	23	27	14	17	6	19	9	44	14	14	32	13	34	14	30	37	26	16	28	19
Candidatus Nanopelagicus	6	1	3	8	23	7	0	8	11	13	4	26	9	51	7	2	11	6	28	0	4	29	15
Candidatus Planktophila	28	9	144	19	43	102	45	64	163	51	147	53	93	129	58	53	43	36	65	45	40	138	112
Catenulispora	19	67	323	105	60	346	119	174	61	35	153	135	43	47	46	80	12	129	54	122	42	58	113
Corynebacterium	4790	1880	10578	4835	3572	7992	5350	6360	4683	4141	7648	5211	4918	10037	3188	2433	4411	4949	4741	6249	3297	4866	4689
Dietzia	120	46	302	161	201	271	294	279	83	124	145	170	212	251	80	126	232	171	272	318	57	205	142
Gordonia	262	87	486	283	220	461	296	339	172	328	592	248	483	263	204	160	625	217	371	330	250	374	308
Hoyosella	8	1	153	37	8	136	15	99	30	34	24	16	122	21	12	3	6	15	30	2	22	27	44
Mycobacterium	638	330	1501	641	373	1301	954	910	684	683	1014	942	770	939	389	284	638	747	1153	772	522	666	722
Mycobacteroides	177	40	197	224	68	166	146	103	140	195	188	182	247	178	62	56	58	91	265	178	74	170	159
Mycolicibacter	44	14	33	48	17	28	44	98	18	26	17	150	42	37	17	10	10	17	40	33	35	22	176
Mycolicibacterium	471	186	656	552	201	447	727	376	391	370	1170	470	281	640	187	186	381	376	637	594	311	390	417
Nocardia	728	228	1079	594	429	845	882	954	530	611	583	939	561	712	961	243	814	799	488	896	292	444	867
Rhodococcus	754	269	1354	856	378	602	521	582	545	707	1138	728	1307	802	374	507	757	428	1116	675	478	770	713
Segniliparus	44	10	20	49	4	8	35	6	21	6	73	16	19	23	11	21	6	2	28	27	2	27	36
Tsukamurella	80	34	137	68	45	75	96	49	108	59	320	29	89	90	498	98	196	36	50	61	87	151	190
Lawsonella	66	15	35	57	35	62	185	60	18	129	56	100	46	92	15	20	59	18	39	58	20	32	96
Frankia	505	201	708	421	198	501	543	636	448	443	1354	437	752	379	297	417	1539	517	318	445	425	845	529
Jatrophihabitans	9	37	18	7	16	42	15	9	7	12	14	11	7	12	5	21	3	5	88	19	77	83	18
Blastococcus	20	20	20	109	28	76	21	39	24	101	32	71	36	35	20	15	34	20	57	15	24	85	42
Geodermatophilus	42	29	126	89	36	107	66	139	53	119	100	322	108	65	40	17	60	80	27	107	24	31	126
Modestobacter	47	42	300	33	83	305	204	171	74	103	199	147	269	59	47	129	155	106	145	116	45	153	100
Stackebrandtia	64	37	225	63	121	283	76	261	203	67	109	85	93	148	65	21	31	100	45	149	88	60	111
Jiangella	76	53	387	91	173	324	168	108	102	38	613	269	178	182	43	80	376	105	94	211	100	191	159
Kineococcus	46	17	117	20	74	18	32	13	13	22	59	45	38	59	13	2	11	17	32	118	17	20	24
Beutenbergia	64	25	100	83	13	17	100	47	18	34	77	111	42	23	40	25	5	19	29	34	32	79	18
Miniimonas	16	46	84	36	13	16	65	20	78	17	129	153	55	69	18	55	6	31	27	70	59	33	58
Brevibacterium	187	151	383	400	251	259	342	340	160	382	405	530	246	223	184	198	59	273	352	177	219	252	410
Cellulomonas	155	156	331	236	145	191	324	117	112	143	198	161	142	183	120	95	71	118	225	189	495	210	193
Paraoerskovia	5	4	55	6	4	42	3	4	13	4	57	6	17	31	2	5	3	4	26	8	54	32	4
Brachybacterium	900	220	1046	418	297	961	355	558	469	397	848	361	674	843	473	899	614	797	499	674	1017	621	524
Dermabacter	21	13	90	88	23	36	5	45	89	37	90	21	39	23	14	3	7	29	16	21	54	25	37
Devriesea	6	1	98	26	7	29	20	18	32	15	77	59	63	40	10	10	13	8	147	13	5	31	40
Dermacoccus	54	27	72	111	14	106	136	53	40	74	60	85	38	100	16	32	41	41	29	60	38	67	42
Kytococcus	183	24	67	31	74	146	43	18	33	12	21	45	91	34	39	27	13	15	39	12	173	18	36
Luteipulveratus	5	4	25	12	7	24	19	4	3	9	47	6	12	27	5	4	19	11	14	6	34	23	12
Austwickia	148	7	72	27	26	78	52	40	48	41	26	38	33	30	20	13	7	37	73	31	37	53	26
Dermatophilus	18	6	1	156	27	19	20	11	14	24	16	443	43	11	9	3	13	8	6	26	6	17	15
Arsenicicoccus	36	9	49	10	8	29	25	6	16	18	37	24	22	26	14	11	36	44	11	27	17	13	8
Intrasporangium	13	16	62	57	8	22	52	29	34	7	63	36	42	38	21	54	10	18	36	26	69	16	43
Janibacter	55	7	41	182	36	28	54	17	46	29	128	63	54	49	13	59	181	26	78	99	46	119	35
Ornithinimicrobium	27	55	213	50	34	20	86	47	21	23	58	60	47	99	33	50	3	75	72	8	41	45	66
Phycicoccus	33	3	64	7	29	23	49	43	0	8	42	28	22	54	8	7	9	14	17	19	20	39	26
Serinicoccus	14	7	56	56	11	12	8	6	9	20	38	26	16	41	15	16	16	57	51	20	36	14	46
Jonesia	25	2	2	18	30	36	3	9	15	22	6	3	34	27	8	5	5	18	18	3	6	13	3
Agrococcus	382	44	241	163	112	310	96	85	49	65	81	146	128	154	60	27	74	138	176	330	45	75	85
Agromyces	61	55	295	62	74	127	61	89	43	31	208	126	96	104	82	49	21	51	69	95	105	89	108
Aurantimicrobium	48	82	94	64	24	28	40	44	32	83	43	95	96	96	31	51	69	24	73	81	31	69	45
Candidatus Aquiluna	14	28	13	18	24	28	17	12	36	11	35	19	15	105	14	46	25	18	36	38	12	37	17
Clavibacter	34	53	327	90	71	353	89	177	166	145	67	94	227	109	86	62	35	113	198	123	110	141	138
Cnuibacter	0	1	13	6	2	2	2	4	1	0	0	0	11	4	2	5	1	7	5	8	8	0	4
Cryobacterium	229	57	188	142	47	79	190	87	303	133	242	209	150	197	76	129	354	268	303	182	62	184	109
Curtobacterium	28	24	93	45	43	227	37	18	39	30	74	107	75	50	17	18	23	29	119	150	73	33	86
Frondihabitans	96	66	171	75	25	251	135	235	123	73	100	163	56	46	92	69	17	125	95	119	115	106	133
Humibacter	3	0	18	7	6	2	1	1	6	4	3	1	14	10	0	3	0	1	5	4	0	13	4
Leifsonia	105	58	192	59	102	111	219	142	44	88	511	457	214	143	86	180	513	89	384	179	125	342	227
Microbacterium	641	373	1321	525	509	658	1479	805	381	510	1242	923	529	940	310	442	449	383	459	773	621	657	887
Microcella	29	5	76	1	8	7	20	11	3	1	68	12	21	27	9	29	2	12	26	20	21	12	25
Microterricola	58	38	163	80	37	102	115	27	42	93	116	64	56	77	46	32	63	24	45	102	53	46	42
Mycetocola	11	19	44	95	27	28	86	95	7	49	8	150	7	20	14	14	10	8	48	39	25	20	158
Plantibacter	55	17	25	22	49	208	75	47	51	12	39	44	24	26	36	24	8	15	39	84	43	60	28
Pontimonas	1	3	2	2	3	11	3	1	0	11	6	5	3	7	4	5	4	2	4	0	8	9	0
Rathayibacter	49	18	45	59	39	104	80	40	115	85	106	54	105	21	69	23	104	29	76	57	41	87	29
Rhodoluna	190	15	57	14	31	36	26	25	42	26	48	65	54	97	45	48	25	12	31	16	17	64	27
Salinibacterium	25	9	61	6	159	43	110	69	68	39	102	41	130	47	336	47	15	9	17	23	49	42	127
Arthrobacter	1078	349	1427	780	551	1507	591	753	685	567	1252	687	818	1390	649	1256	742	918	768	1096	1022	867	881
Auritidibacter	2	4	16	53	5	23	7	3	27	11	15	5	31	9	11	2	4	16	2	12	13	58	17
Glutamicibacter	434	60	237	163	62	57	76	111	143	114	107	96	243	567	94	153	70	281	163	82	397	187	152
Kocuria	240	99	569	186	149	583	362	364	187	219	575	221	183	201	109	132	321	316	165	359	247	329	225
Micrococcus	18	21	91	57	95	111	131	79	26	33	51	87	62	155	21	27	9	30	54	74	61	168	115
Neomicrococcus	94	47	184	69	20	63	69	73	96	83	62	12	81	102	25	9	87	39	98	47	19	103	116
Paenarthrobacter	14	3	12	1	6	28	36	9	5	15	4	14	27	35	2	42	2	16	10	8	7	9	12
Pseudarthrobacter	161	48	440	98	136	671	148	496	219	175	280	149	117	154	144	88	102	330	75	171	164	166	157
Psychromicrobium	7	4	91	15	8	13	13	4	3	5	37	13	12	38	7	1	1	4	19	145	4	18	47
Renibacterium	145	29	160	33	53	20	184	10	19	7	69	5	28	299	146	58	39	60	42	147	23	91	91
Rothia	297	96	455	391	213	265	247	224	117	202	353	947	264	505	173	302	165	191	191	192	74	407	552
Sinomonas	282	52	129	25	21	22	18	9	40	20	63	29	48	284	137	449	9	140	52	23	356	42	85
Zhihengliuella	15	0	17	7	11	7	31	23	10	8	7	8	5	26	15	3	7	8	12	15	16	11	24
Cellulosimicrobium	32	29	119	138	40	110	121	158	31	121	65	282	52	58	44	53	34	42	62	75	209	48	221
Isoptericola	31	25	90	20	29	44	48	32	48	41	133	25	77	47	17	18	86	66	42	62	102	46	40
Xylanimonas	85	14	272	145	58	425	20	124	77	32	97	55	72	74	16	14	64	121	56	166	90	86	92
Sanguibacter	15	1	110	12	37	16	5	3	20	31	14	18	60	21	20	43	8	18	23	62	41	37	16
Tropheryma	2	2	4	0	0	1	1	2	1	2	1	1	25	0	21	2	2	0	0	0	1	0	2
Actinoplanes	191	131	443	263	182	362	450	267	210	198	734	494	381	288	133	293	652	127	357	328	185	533	410
Micromonospora	434	465	893	678	374	1110	941	800	306	464	1077	939	974	541	326	472	926	374	591	861	391	803	868
Plantactinospora	133	56	259	557	63	236	103	96	111	79	180	117	113	193	101	93	165	67	179	85	100	128	164
Salinispora	15	22	71	26	51	83	89	30	53	24	61	111	44	51	5	32	12	26	36	124	16	73	64
Verrucosispora	12	17	37	15	5	31	25	5	8	9	58	23	17	23	5	2	10	8	19	63	7	19	6
Nakamurella	24	11	122	220	61	86	97	120	87	111	77	124	67	182	28	27	39	50	290	41	38	97	78
Actinopolymorpha	46	34	143	49	56	91	38	20	19	13	98	63	120	79	8	16	58	86	111	244	31	86	50
Aeromicrobium	96	87	427	108	75	286	212	307	151	171	250	212	326	191	124	116	74	225	293	105	174	230	152
Friedmanniella	140	109	335	165	36	150	307	87	79	183	360	142	202	159	42	68	153	68	159	361	52	71	111
Kribbella	91	34	100	50	31	49	49	8	19	48	191	36	111	81	39	63	290	28	66	118	51	154	80
Marmoricola	23	21	24	12	12	104	87	55	10	19	76	32	26	16	25	55	58	12	23	21	19	41	43
Micropruina	106	31	220	76	37	142	122	46	38	46	366	114	166	85	39	67	526	58	324	164	66	254	73
Nocardioides	128	106	262	215	160	441	227	205	106	111	377	414	147	139	84	71	68	102	306	282	143	116	329
Pimelobacter	66	26	190	68	29	35	106	53	32	61	267	95	77	39	278	57	279	54	39	57	68	145	180
Acidipropionibacterium	63	77	355	110	135	261	317	272	131	109	225	340	96	263	118	113	102	154	99	241	228	178	283
Auraticoccus	67	38	71	61	31	65	147	51	96	115	136	43	88	86	28	15	150	58	53	109	21	103	95
Cutibacterium	184	142	605	799	159	316	313	288	76	325	469	605	362	238	88	210	424	163	136	239	112	296	365
Microlunatus	204	91	296	69	70	89	474	181	81	222	284	131	259	290	191	200	384	75	80	147	61	363	196
Propionibacterium	175	56	234	153	94	171	255	232	284	133	224	334	246	218	138	147	186	239	201	189	185	236	139
Propionimicrobium	69	98	496	31	355	326	111	240	64	23	49	32	29	180	25	85	84	106	76	40	43	112	130
Pseudopropionibacterium	40	15	153	26	69	106	165	112	85	12	116	114	39	96	23	54	105	50	34	35	38	97	23
Tessaracoccus	370	231	991	640	241	698	568	570	492	783	686	667	650	842	831	377	242	394	721	562	472	507	989
Actinoalloteichus	375	114	297	221	128	391	417	588	427	347	181	539	338	206	201	140	190	337	196	446	271	167	513
Actinosynnema	93	58	264	109	36	85	221	91	18	76	409	107	77	120	47	82	219	54	80	187	52	77	57
Alloactinosynnema	43	18	134	85	43	165	44	102	56	53	48	39	52	30	39	11	19	73	16	65	42	18	40
Allokutzneria	130	10	84	147	20	15	19	42	152	122	60	13	312	62	32	3	15	60	248	32	3	74	65
Amycolatopsis	203	270	820	416	240	647	639	526	181	422	475	716	346	314	223	278	222	442	528	560	274	320	624
Kibdelosporangium	409	59	184	138	18	38	41	25	67	69	32	40	131	310	216	585	19	211	102	75	473	110	168
Kutzneria	33	29	158	35	51	82	51	55	43	25	124	49	59	71	73	23	12	31	44	85	34	49	43
Lentzea	68	16	179	26	35	28	42	11	11	13	258	52	108	48	10	65	387	3	44	45	31	190	56
Prauserella	69	20	39	50	103	120	77	77	64	29	135	52	58	27	37	76	55	26	16	31	19	21	25
Pseudonocardia	126	103	320	206	116	186	327	202	80	197	326	186	207	222	659	224	121	140	144	167	134	205	336
Saccharomonospora	72	28	264	110	107	315	106	92	97	99	228	148	170	132	80	38	69	112	103	89	73	269	113
Saccharopolyspora	54	13	82	18	123	72	56	126	17	29	144	27	44	69	12	27	43	53	31	25	15	28	21
Saccharothrix	58	70	148	50	23	95	75	164	51	40	91	58	31	31	53	54	9	103	27	151	55	43	55
Kitasatospora	171	99	261	206	93	359	277	141	102	162	274	216	202	266	89	115	188	133	201	332	77	198	220
Streptacidiphilus	344	133	1053	93	249	327	589	571	311	249	201	588	136	575	253	22	726	717	382	700	32	176	117
Streptomyces	6744	2358	9047	5205	2985	7621	6586	5926	4188	4461	8442	7193	5602	6612	4182	5356	6773	5460	5879	5943	5024	5878	6133
Nocardiopsis	358	92	404	357	132	346	412	282	172	429	403	623	209	380	175	504	299	132	456	243	151	175	558
Thermobifida	79	30	158	51	37	15	172	41	36	93	45	68	33	64	32	28	36	13	25	38	35	35	37
Nonomuraea	71	55	224	164	63	370	97	105	72	61	318	181	97	90	45	38	68	72	356	117	58	106	85
Streptosporangium	368	75	248	119	66	105	61	61	76	241	200	84	91	379	108	65	62	257	104	156	441	130	145
Actinomadura	13	76	260	30	11	169	109	182	58	7	73	220	75	22	33	56	15	105	26	67	58	106	164
Thermomonospora	95	43	278	51	68	307	88	159	22	15	151	36	51	143	36	72	51	149	48	240	66	165	84
Atopobium	380	70	341	83	568	185	60	110	117	64	61	24	118	496	255	694	86	267	98	75	488	154	230
Libanicoccus	3594	922	7378	1485	1065	2298	1805	1217	2776	1045	3532	2272	2111	2435	1372	1275	1413	1152	1745	2085	1168	2393	2637
Olsenella	5201	1982	11529	3471	2361	6057	5231	5167	3770	3942	9689	8990	8961	5088	103168	3654	5851	5236	9453	4529	2325	8133	8555
Collinsella	94911	15442	121430	8322	32822	9122	21057	4265	11606	32357	1821	153019	75466	52878	12163	80552	34650	18059	32304	5377	2165	135385	206563
Coriobacterium	372	110	555	263	186	103	393	291	224	293	303	392	593	391	588	203	139	180	473	169	117	318	522
