Taxonomy	GXL_5075	GXL_4092	GXL_1936	GXL_12940	GXL_10143	GXL_13164	GXL_4337	GXL_5777	GXL_1001	GXL_10938	GXL_8500	GXL_11720	GXL_13198	GXL_4363	GXL_4184	GXL_7834	GXL_10941	GXL_12278	GXL_10199	GXL_11714	GXL_7837	GXL_9463	GXL_5076	GXL_7910
Leuconostocaceae	0	0	0	0	0.00122	0	0	0.00129	0	0	0	0	0	0	0.23012	0.60467	0.16313	0	0	0	0	0	0	0
Streptococcaceae	0	0.01728	0.06833	0.12941	0.03369	0	0.02041	0	0	0	0.23699	0	0	0	0.29775	0.83555	0.74465	0.02772	0	0.17265	0.04269	0	0	0.21838
Catabacteriaceae	0	0.05122	0.00428	0.06286	0.56305	0	0.09058	0.04449	0.05311	0.00453	0	0	0.00594	0.1263	0.62272	0.01209	0.06908	0.01015	0.00311	0.01517	0.038	0.03389	0.07806	0.11947
Christensenellaceae	0	0.22734	0.09144	0.60429	1.99648	0	1.00209	0.08434	0.26899	0.21446	0	0.01901	0.13157	0.07757	0.09867	0.0932	0.01356	0.11965	0.10049	0.09009	0.37416	0.05064	0.30785	0.39623
Clostridiaceae	0.06888	0.00712	0.01254	1.49537	0.0602	0.00962	0.90609	0.55274	0.1732	5.16505	2.03978	0	0.00037	0.02504	0.14631	0.21212	4.07277	0.98354	2.46779	0	0.01454	0.01108	0.81529	0.03841
Clostridiales_unclassified	0.50889	2.74075	6.18729	1.39931	0.7185	0.38546	0.94748	1.67819	0.70041	3.51581	0.22822	2.83616	0.46435	3.48673	5.22948	2.16344	5.39367	0.51455	0.69521	2.20622	0.19705	0.71589	0.83722	0.85086
Eubacteriaceae	0.14128	0.02741	0.18406	0.17358	4.40438	3.59774	0	0.15254	0.13492	0.07229	0.26175	0	0.33018	0.68729	0.09443	0.04565	0.01673	0.1894	0.29352	0.01453	0.19368	0.09792	1.08308	0.49572
Lachnospiraceae	17.12314	15.48166	9.88701	22.30897	4.45016	2.08442	8.63865	11.05077	10.98818	7.0273	0.20683	8.51396	10.34623	20.30363	3.17796	1.80358	3.67105	7.03581	5.46343	11.80772	4.97693	15.82475	14.4653	17.34317
Oscillospiraceae	3.06579	1.26629	1.33195	1.05172	0.02505	0.3294	0.19051	1.74338	0.39036	0.37597	2.63604	1.20516	2.61975	3.31623	14.38894	0.72824	1.82319	0.64725	3.26018	0.84147	0.3782	4.19726	0.19274	0.10712
Peptostreptococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00216	0	0	0
