Taxonomy	GXH_2074	GXH_3303	GXH_3593	GXH_2631	GXH_2742	GXH_4036	GXH_1390	GXH_3170	GXH_1860	GXH_2301	GXH_1634	GXH_1635	GXH_2741	GXH_1176	GXH_3392	GXH_3174	GXH_2520	GXH_3171	GXH_913	GXH_3806	GXH_695	GXH_3384	GXH_1389
Methanobacteria	2.30178	1.61821	7.90722	0.90987	3.65885	1.43755	1.24026	0.08542	7.46655	5.77614	8.81334	5.66065	5.09252	4.45976	1.06134	0.55451	0.10319	8.03736	2.29577	3.37242	0.4518	0.08793	1.61479
Actinobacteria	0.19377	0	0.38341	0.07441	0	0.11973	1.6276	0.01704	0.02871	0	0	0	0.53564	0.28138	0.02222	0.0148	0.71257	0.05801	0	0.01712	0.00636	0	0.02556
Coriobacteriia	2.33737	2.4565	0.40664	0.46015	0.9599	2.74496	2.45447	0.68245	3.41975	0.19735	1.0781	6.03575	1.34774	9.10567	1.14858	0.62766	0.04498	8.07169	5.5322	0.30347	10.57253	1.97963	8.27118
Bacteroidia	19.85028	23.3858	53.94157	78.42053	64.81691	41.04593	29.85993	70.59731	24.05737	41.62145	26.42667	68.87166	16.6504	13.0155	17.70834	19.75895	60.87434	16.41364	24.49714	50.41825	20.89127	65.39823	49.80747
Flavobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrobacteria	0	0.00888	0	0	0	0	0.02948	0	0.0014	0.08674	0.00689	0.00234	0	0	0	0	0	0	0.07602	0	0.00439	0	0
Bacilli	11.5331	5.6592	1.08691	0.18453	0.33362	3.1453	2.61343	1.72961	0.24754	2.71287	1.89071	0.18863	1.24553	5.73507	0.70361	0.43851	2.41897	0.91174	0.09308	0.87054	4.0773	0.43062	2.14318
Clostridia	36.26169	41.86952	15.76733	6.29315	15.75285	20.30314	30.89142	18.92802	49.98413	30.89178	45.98377	13.93647	56.37659	52.7059	74.49503	58.09147	20.0988	33.49796	37.34143	26.01175	25.49984	20.58657	27.82112
Erysipelotrichia	0.50437	0.67139	0.18441	0.5299	0.06861	0.0127	0.03966	0	0.24579	0	0.04297	0.01686	0	0.11385	0.071	0	0.00647	0.1649	0.00352	0	0.08505	0	0.16361
Firmicutes_unclassified	5.37253	0.0033	0.01498	0	0	0	0	0.01367	0.28763	0	0	0	0.18632	0	0	0	0	0	0.16964	0	0.11405	0	0
Negativicutes	1.13923	6.51037	1.6289	2.92689	6.50532	1.2693	8.82009	2.22488	0.98714	8.10721	5.70186	1.49976	2.76997	4.68199	0.75104	1.09554	2.691	18.44219	12.78798	3.54917	27.47194	5.54163	6.42789
Fusobacteriia	0.00521	0	0.10023	0.01299	0	0.50949	0	0	0.01536	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lentisphaeria	0	0.00129	0.01441	0.02875	0.01589	0.00331	0.01682	0.05498	0	0	0	0	0.43724	0	0.0317	0.00366	0.24173	0	0	0.04804	0	0	0
Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Betaproteobacteria	3.29579	1.87222	0.54481	3.21412	0.00442	0.00478	0.33092	0.02314	1.09526	0	0.21867	0.25318	0.2803	1.55701	0.38331	0	0.00313	0	0	0.02675	0	0.00389	0
Deltaproteobacteria	3.6593	10.44268	6.48051	2.2629	2.37651	1.77441	3.125	2.97629	4.05345	3.68043	4.86123	2.63204	7.40287	1.97112	1.73372	10.44382	1.2446	5.0781	3.26754	2.06551	3.95791	3.92065	1.93199
Epsilonproteobacteria	0.99175	0	0.44183	0.13987	2.9392	0.57506	0.00979	0.03811	1.19241	0	0.02323	0.14054	0	0.02167	0.11906	0.15267	0	1.36597	0.01576	0.39114	0.00972	0	0.19822
Gammaproteobacteria	10.28806	3.74153	2.63852	4.11794	1.75031	24.47349	0.73818	1.87274	1.20157	0	1.14031	0.03662	1.10323	5.75578	1.38011	7.10173	1.70018	3.88	1.32494	0.16586	2.53384	0.01773	0
Spirochaetia	0.83668	0.07674	0	0.00179	0	0.01132	2.59408	0	0	2.9406	0.30178	0.52026	0.91046	0.09797	0.25011	0.88077	0.01099	0.02176	12.40881	3.36284	3.61608	1.16907	0.59033
Synergistia	1.42907	1.68236	7.1922	0.42218	0.81763	2.56954	15.60888	0.75635	5.71594	3.98544	3.51046	0.20525	5.66117	0.49735	0.11705	0.83591	3.32142	4.05667	0.18616	9.39715	0.70792	0.86405	1.00468
Mollicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobiae	0	0	1.26612	0	0	0	0	0	0	0	0	0	0	0	0.02377	0	6.52761	0	0	0	0	0	0
Eukaryota_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
