Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Methanocaldococcus	1	3	3	10	5	1	2	0	8	3	4	3	7	0	2	8	7	3	1	1	20	6	4
Methanotorris	2	0	2	0	0	2	1	4	0	0	2	2	1	1	4	1	8	0	1	0	5	0	1
Methanococcus	94	33	95	69	54	78	70	118	81	197	34	51	99	77	39	19	44	85	48	158	22	116	174
Methanothermococcus	3	2	4	5	1	5	1	0	2	23	0	0	3	1	0	0	2	1	22	7	1	0	4
Methanocella	42	53	155	48	62	16	103	26	7	17	245	72	80	12	28	71	122	33	15	87	35	107	94
Methanocorpusculum	23	6	50	7	36	5	18	22	10	36	11	7	29	17	30	21	2	15	10	38	45	7	10
Methanoculleus	23	12	171	35	32	51	32	14	38	31	49	85	46	57	14	14	20	27	30	41	11	114	59
Methanofollis	13	0	26	8	50	20	22	15	8	15	35	10	18	14	10	3	9	3	0	11	7	23	6
Methanolacinia	1	1	7	16	18	22	3	12	5	26	28	24	16	4	5	3	7	6	4	20	0	13	6
Methanoplanus	3	4	6	2	0	2	1	19	5	2	5	7	4	5	3	8	2	1	6	1	8	6	0
Methanolinea	2	0	3	0	0	4	0	0	1	1	0	3	0	0	4	7	0	0	4	0	1	3	0
Methanoregula	16	20	39	54	31	62	30	34	14	26	34	9	28	40	47	12	7	13	11	16	43	17	12
Methanosphaerula	0	0	3	5	2	3	3	1	2	12	17	2	1	0	18	2	13	3	3	3	0	1	3
Methanospirillum	2	1	39	2	12	20	9	79	17	4	12	21	4	13	12	1	5	15	6	7	6	5	4
Methanothrix	11	41	72	10	17	35	57	39	21	27	43	51	43	15	39	37	7	40	32	24	43	35	51
Methanococcoides	15	3	35	13	10	14	10	17	15	17	13	9	40	10	19	12	14	13	10	20	9	22	17
Methanohalobium	12	1	11	1	19	16	7	5	19	29	1	7	13	5	2	0	21	2	2	19	0	40	1
Methanohalophilus	9	2	10	32	11	6	4	1	6	7	14	26	16	14	6	11	2	10	33	11	38	26	3
Methanolobus	3	1	10	3	0	3	1	3	21	2	3	9	15	4	4	13	2	5	8	0	2	6	3
Methanomethylovorans	40	5	35	7	332	62	18	34	1318	15	23	10	25	25	24	5	48	19	21	31	16	21	77
Methanosalsum	1	1	3	2	0	4	1	2	3	15	5	3	6	5	0	0	0	0	15	1	0	1	5
Methanosarcina	115	73	283	110	275	160	178	244	124	271	267	201	262	278	133	98	88	135	152	133	99	170	187
Methanopyrus	0	1	0	1	0	3	0	0	0	1	1	0	1	3	0	0	0	1	0	2	0	9	0
Palaeococcus	0	0	4	2	2	0	14	40	2	0	0	108	1	0	0	0	17	1	1	0	2	1	0
Pyrococcus	5	8	7	0	1	9	1	3	4	1	48	13	13	2	30	0	5	1	24	9	1	2	5
Thermococcus	974	140	481	280	198	180	609	372	421	352	212	371	312	783	324	969	280	403	253	310	791	366	432
Candidatus Methanomethylophilus	102061	30499	13410	23325	214755	94133	84032	57435	287287	7831	328	48410	40578	207296	30143	146188	35037	200538	198319	1431	937	18842	619
Candidatus Methanoplasma	229	34	1288	112	542	563	311	469	766	1413	463	1145	820	625	656	154	396	616	342	957	46	457	552
Methanomassiliicoccus	57	7	159	83	84	71	50	79	134	133	91	179	113	113	151	34	73	102	73	133	13	56	48
Cuniculiplasma	4	0	16	0	6	8	11	3	9	9	5	7	8	15	26	7	6	12	11	9	4	3	6
Ferroplasma	0	3	5	1	5	3	1	2	2	6	1	10	5	9	8	7	1	4	2	2	1	32	6
Picrophilus	0	0	2	0	3	9	1	1	3	9	4	2	13	3	0	1	0	8	2	2	0	9	2
