Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Streptomycetaceae	7463	2691	10644	5629	3444	8507	7808	6789	4730	5109	9177	8218	6291	7725	4579	5598	7820	6413	6706	7292	5252	6420	6699
Nocardiopsaceae	438	122	562	409	172	364	584	328	208	523	448	692	242	445	207	532	335	145	481	281	188	212	597
Streptosporangiaceae	444	133	483	285	138	476	164	171	151	302	542	268	198	473	156	106	130	333	464	315	500	236	238
Thermomonosporaceae	108	119	542	81	79	480	197	345	80	22	224	258	126	165	69	131	66	254	74	307	126	271	248
Atopobiaceae	9453	3068	19898	5352	4110	8863	7505	6872	6923	5458	13795	11921	11767	8343	105322	5827	7561	6956	11669	7023	4137	11169	12009
Coriobacteriaceae	96362	16057	124277	9235	33679	10005	22848	5738	12546	33366	4475	155011	77071	54717	13541	81558	36658	19760	34040	7014	3737	137222	208366
Eggerthellaceae	9568	5035	17835	6423	12004	13711	10148	10793	8923	7677	12973	13558	10128	12376	6883	7954	12263	12347	10499	10343	13289	11254	12371
Euzebyaceae	43	39	262	63	194	192	114	142	66	28	328	150	192	144	55	145	322	81	352	192	56	170	97
Rubrobacteraceae	790	165	322	427	127	271	316	212	138	339	553	501	272	284	205	165	454	166	219	324	179	323	354
Conexibacteraceae	102	55	250	92	80	267	177	154	79	40	500	164	187	113	74	90	368	71	95	252	50	196	165
Aquificaceae	29	15	99	20	27	34	12	16	22	51	78	19	49	29	5	13	8	16	94	59	115	41	19
Hydrogenothermaceae	8	3	6	15	98	20	76	57	23	52	13	13	120	13	5	4	53	52	17	7	3	43	4
Desulfurobacteriaceae	558	18	56	49	86	91	149	184	232	41	17	112	42	610	222	300	103	335	45	46	269	34	50
Chthonomonadaceae	70	7	157	104	112	132	45	81	146	60	147	162	79	106	125	85	59	43	285	82	19	41	85
Fimbriimonadaceae	27	19	143	18	28	38	75	69	55	20	173	131	34	86	10	21	46	18	19	28	27	66	93
Bacteroidaceae	60572	1972800	116860	128536	439186	140399	567896	206028	54252	74695	1725458	277007	70588	128790	1229375	1838175	152452	47189	171141	1668563	2379002	57648	78136
Barnesiellaceae	2378	5144	3774	7720	3315	4687	6163	10194	3082	4448	5884	10022	6047	4235	10200	7672	4103	3502	10628	5710	6454	3869	3565
Dysgonamonadaceae	223	217	517	1047	383	434	799	797	152	401	323	933	480	480	1028	484	145	174	911	163	338	708	412
Muribaculaceae	7040	2182	6838	16529	2696	2053	7128	2314	3545	5474	2018	7530	4741	10184	27268	12795	1979	5556	13797	3483	7129	8154	8993
Odoribacteraceae	3718	3395	3572	14636	7705	8823	6495	10310	5179	15667	17526	27122	7274	8964	20718	12760	5387	3843	7498	7024	9395	3380	14077
Paludibacteraceae	1004	426	665	943	769	682	1656	773	375	671	576	763	2347	1383	1212	650	602	568	911	796	386	942	733
Porphyromonadaceae	5789	1841	3111	22162	1985	3504	5277	8194	3564	11482	2735	14440	8401	9844	9310	9160	1790	3296	6118	35505	11667	4488	9028
Prevotellaceae	52043	9564	19963	296911	17555	25749	70344	83116	14585	175601	7711	288123	77593	117600	46654	55621	8867	17163	62543	16365	27938	69100	112858
Rikenellaceae	74449	993843	83493	53677	386214	479668	264220	234828	153347	36476	259326	437637	9166	504534	1188892	928808	93660	374405	787981	412829	681865	141948	50492
Tannerellaceae	144446	29678	46498	12696	957631	57401	323078	133946	8574	15044	3343383	302573	16033	27593	587004	371178	355045	278505	319762	889988	56917	8068	26059
Marinifilaceae	70	143	41	191	40	99	83	177	43	161	35	255	130	99	124	129	77	45	95	83	123	78	99
Marinilabiliaceae	141	80	94	145	247	120	337	145	157	180	167	579	231	183	598	160	109	225	660	205	99	219	131
