ID	micro	redundance	grp
GXH_3384	Spirochaetes	1.16907	GXH
GXH_1389	Actinobacteria	8.29674	GXH
GXH_1389	Bacteroidetes	49.80747	GXH
GXH_1389	Euryarchaeota	1.61479	GXH
GXH_1389	Firmicutes	36.5558	GXH
GXH_1389	Others	0.59033	GXH
GXH_1389	Proteobacteria	2.13021	GXH
GXH_1389	Synergistetes	1.00468	GXH
GXL_5075	Actinobacteria	1.82985	GXL
GXL_5075	Bacteroidetes	66.51997	GXL
GXL_5075	Firmicutes	29.22944	GXL
GXL_5075	Others	0.35987	GXL
GXL_5075	Proteobacteria	2.06088	GXL
GXL_4092	Actinobacteria	2.32218	GXL
GXL_4092	Bacteroidetes	45.30629	GXL
GXL_4092	Euryarchaeota	1.92793	GXL
GXL_4092	Firmicutes	37.70748	GXL
GXL_4092	Others	0.03743	GXL
GXL_4092	Proteobacteria	6.68921	GXL
GXL_4092	Synergistetes	6.00947	GXL
GXL_1936	Actinobacteria	1.89213	GXL
GXL_1936	Bacteroidetes	35.0353	GXL
GXL_1936	Firmicutes	36.29565	GXL
GXL_1936	Others	1.70923	GXL
GXL_1936	Proteobacteria	23.65301	GXL
GXL_1936	Synergistetes	1.4147	GXL
GXL_12940	Actinobacteria	2.196	GXL
GXL_12940	Bacteroidetes	27.1345	GXL
GXL_12940	Firmicutes	63.3013	GXL
GXL_12940	Others	0.65284	GXL
GXL_12940	Proteobacteria	4.46978	GXL
GXL_12940	Synergistetes	2.24558	GXL
GXL_10143	Actinobacteria	15.9139	GXL
GXL_10143	Bacteroidetes	36.34297	GXL
GXL_10143	Euryarchaeota	1.44686	GXL
GXL_10143	Firmicutes	26.62532	GXL
GXL_10143	Others	0.12751	GXL
GXL_10143	Proteobacteria	15.02406	GXL
GXL_10143	Synergistetes	4.51937	GXL
GXL_13164	Actinobacteria	1.20999	GXL
GXL_13164	Bacteroidetes	53.46198	GXL
GXL_13164	Firmicutes	20.32391	GXL
GXL_13164	Others	1.00767	GXL
GXL_13164	Proteobacteria	3.74412	GXL
GXL_13164	Verrucomicrobia	20.25233	GXL
GXL_4337	Actinobacteria	1.88376	GXL
GXL_4337	Bacteroidetes	58.12871	GXL
GXL_4337	Euryarchaeota	2.05293	GXL
GXL_4337	Firmicutes	25.18978	GXL
GXL_4337	Others	0.7719	GXL
GXL_4337	Proteobacteria	9.72419	GXL
GXL_4337	Synergistetes	2.24873	GXL
GXL_5777	Actinobacteria	9.03451	GXL
GXL_5777	Bacteroidetes	36.34968	GXL
GXL_5777	Euryarchaeota	2.95774	GXL
GXL_5777	Firmicutes	37.05905	GXL
GXL_5777	Others	1.0578	GXL
GXL_5777	Proteobacteria	7.71073	GXL
GXL_5777	Synergistetes	5.83049	GXL
GXL_1001	Actinobacteria	4.96359	GXL
GXL_1001	Bacteroidetes	33.47657	GXL
GXL_1001	Firmicutes	51.4499	GXL
GXL_1001	Others	0.46907	GXL
GXL_1001	Proteobacteria	4.67682	GXL
GXL_1001	Spirochaetes	2.19592	GXL
GXL_1001	Synergistetes	2.76813	GXL
GXL_10938	Actinobacteria	1.41294	GXL
GXL_10938	Bacteroidetes	57.11491	GXL
GXL_10938	Firmicutes	32.84018	GXL
GXL_10938	Others	0.8483	GXL
GXL_10938	Proteobacteria	7.78367	GXL
GXL_8500	Actinobacteria	6.29752	GXL
GXL_8500	Bacteroidetes	36.11436	GXL
GXL_8500	Firmicutes	51.31063	GXL
GXL_8500	Others	0.03443	GXL
GXL_8500	Proteobacteria	2.11668	GXL
GXL_8500	Spirochaetes	4.12638	GXL
GXL_11720	Actinobacteria	2.14427	GXL
GXL_11720	Bacteroidetes	52.09667	GXL
GXL_11720	Euryarchaeota	1.48486	GXL
GXL_11720	Firmicutes	32.30838	GXL
GXL_11720	Others	0	GXL
GXL_11720	Proteobacteria	6.8773	GXL
GXL_11720	Spirochaetes	4.07372	GXL
GXL_11720	Synergistetes	1.0148	GXL
GXL_13198	Bacteroidetes	53.74051	GXL
GXL_13198	Euryarchaeota	2.96628	GXL
GXL_13198	Firmicutes	35.69716	GXL
GXL_13198	Others	0.29406	GXL
GXL_13198	Proteobacteria	5.75706	GXL
GXL_13198	Synergistetes	1.54493	GXL
GXL_4363	Actinobacteria	1.17071	GXL
GXL_4363	Bacteroidetes	42.25553	GXL
GXL_4363	Euryarchaeota	3.12337	GXL
GXL_4363	Firmicutes	46.4516	GXL
GXL_4363	Others	1.05663	GXL
GXL_4363	Proteobacteria	5.94216	GXL
GXL_4184	Bacteroidetes	25.85085	GXL
GXL_4184	Euryarchaeota	5.27872	GXL
GXL_4184	Firmicutes	63.34151	GXL
GXL_4184	Others	1.19507	GXL
GXL_4184	Proteobacteria	2.82868	GXL
GXL_4184	Spirochaetes	1.50517	GXL
GXL_7834	Bacteroidetes	72.5336	GXL
GXL_7834	Euryarchaeota	3.28499	GXL
GXL_7834	Firmicutes	19.61465	GXL
GXL_7834	Others	0.61165	GXL
GXL_7834	Proteobacteria	2.44147	GXL
GXL_7834	Spirochaetes	1.51364	GXL
GXL_10941	Actinobacteria	1.1903	GXL
GXL_10941	Bacteroidetes	32.0993	GXL
GXL_10941	Euryarchaeota	7.41581	GXL
GXL_10941	Firmicutes	57.50409	GXL
GXL_10941	Others	0.62614	GXL
GXL_10941	Proteobacteria	1.16434	GXL
GXL_12278	Bacteroidetes	72.97879	GXL
GXL_12278	Firmicutes	16.55114	GXL
GXL_12278	Others	1.98789	GXL
GXL_12278	Proteobacteria	6.69622	GXL
GXL_12278	Synergistetes	1.78596	GXL
GXL_10199	Bacteroidetes	39.9627	GXL
GXL_10199	Euryarchaeota	5.34363	GXL
GXL_10199	Firmicutes	30.34047	GXL
GXL_10199	Others	0.51911	GXL
GXL_10199	Proteobacteria	17.7825	GXL
GXL_10199	Synergistetes	4.77935	GXL
GXL_10199	Verrucomicrobia	1.27224	GXL
GXL_11714	Bacteroidetes	22.73284	GXL
