Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Sulfolobus islandicus	0	0	0	7	0	0	0	17	0	3	1	0	0	0	1	0	0	12	0	0	0	0	0	4
Sulfolobus solfataricus	3	3	8	5	3	0	3	0	0	0	2	3	3	1	1	4	0	0	1	0	1	1	3	0
Sulfolobus sp. A20	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	2
Sulfurisphaera tokodaii	0	0	0	0	0	0	1	0	65	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0
Thermofilum adornatus	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	1	0	0	0
Thermofilum carboxyditrophus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermofilum pendens	0	3	0	0	2	0	0	0	1	0	7	0	0	3	3	0	0	0	2	1	2	2	0	0
Thermofilum uzonense	3	2	1	1	1	0	0	0	0	2	3	1	0	5	10	4	0	4	0	1	14	0	0	0
Caldivirga maquilingensis	0	0	1	0	0	0	11	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	2
Pyrobaculum islandicum	0	0	0	2	0	2	1	1	0	0	1	0	0	2	1	0	1	0	1	0	0	0	0	5
Thermoproteus tenax	3	26	0	0	0	0	0	1	0	0	88	0	7	0	1	0	1	0	85	2	1	0	24	3
Thermoproteus uzoniensis	4	9	9	33	19	86	32	9	75	9	10	130	27	14	10	105	21	8	11	37	25	57	2	71
Vulcanisaeta distributa	0	1	4	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	9	0	0
Vulcanisaeta moutnovskia	0	0	3	1	0	1	2	0	0	1	0	6	0	0	2	1	1	0	3	0	6	2	0	5
Archaeoglobus fulgidus	7	123	2	35	9	9	5	5	13	3	29	49	64	2	35	31	2	19	26	118	72	30	2	215
