ID,Parity,Herd,YearSeason,Sex,Dam,Birth_weight,Day_to_115kg,Backfat_thickness,Loin_muscle_area,Lean_percentage
SHD_2700,3,11,182,Female,SHD_2699,1.75,223.07,13.75,46.12,57.02
SHD_2701,1,18,152,Male,SHD_1770,1.7,188.58,15.56,37.54,53.02
SHD_2703,1,15,163,Male,SHD_455,2.1,186.18,9.56,27.68,51.24
SHD_2708,2,13,152,Male,SHD_1364,1.56,180.3,12.68,40.66,55.25
SHD_2709,4,16,172,Male,SHD_461,1.3,205.17,13.33,39.22,54.46
SHD_2711,1,16,161,Male,SHD_980,2.05,165.29,9.25,43.69,57.64
SHD_2718,6,11,171,Male,SHD_832,1.65,178.1,11.56,37.67,54.47
SHD_2719,3,12,174,Male,SHD_829,2.05,148.77,10.59,50.45,59.83
SHD_2729,2,11,161,Male,SHD_1498,1.76,172.09,16.89,56.07,59.83
SHD_2731,1,14,163,Female,SHD_2730,1.05,225.57,15.01,43.46,55.54
SHD_2732,2,13,182,Male,SHD_789,1.3,168.01,12.11,40.5,55.39
SHD_1763,5,17,171,Female,SHD_1003,2.15,189.07,9.89,52.3,60.8
SHD_2738,1,13,183,Female,SHD_2737,1.75,174.57,10.72,42.26,56.57
SHD_2743,5,12,172,Female,SHD_1645,1.45,231.02,12.03,38.74,54.73
SHD_833,2,17,153,Female,SHD_832,1.56,175.05,14.33,51.3,58.86
SHD_2749,1,14,161,Female,SHD_1433,1.2,172.86,13.21,45.55,56.99
SHD_2750,2,17,141,Male,SHD_831,1.68,163.32,11.79,45.79,57.58
SHD_2760,2,13,182,Male,SHD_2759,1.95,202.96,9.3,47.69,59.2
SHD_2761,5,16,161,Male,SHD_1313,1.4,165,17.7,42.21,54.11
SHD_2769,4,16,154,Male,SHD_735,1.68,173.61,10.43,37.2,54.68
SHD_2783,6,11,171,Male,SHD_604,1.35,177.14,13.42,48.16,57.94
SHD_2784,1,11,181,Female,SHD_1797,1.9,205.08,10.99,52.9,60.65
